Dataset name: ptbdb, Model name: vanilla_rnn, Transfer learning: True, RNN freeze: never, RNN Bidirectional: False, RNN Num Layers: 1
Total number of trainable parameters in vanilla_rnn model: 17413
Validation ptbdb | Epoch: 23, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.719, balanced_acc_score: 0.501, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 24, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.679, balanced_acc_score: 0.498, roc_auc_score: 0.488, pr_auc_score: 0.712
Validation ptbdb | Epoch: 24, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.28, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 25, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.416, balanced_acc_score: 0.493, roc_auc_score: 0.486, pr_auc_score: 0.712
Validation ptbdb | Epoch: 25, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.719, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 26, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.722, balanced_acc_score: 0.502, roc_auc_score: 0.493, pr_auc_score: 0.714
Validation ptbdb | Epoch: 26, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 27, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.722, balanced_acc_score: 0.502, roc_auc_score: 0.491, pr_auc_score: 0.712
Validation ptbdb | Epoch: 27, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Train ptbdb | Epoch: 28, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.723, balanced_acc_score: 0.502, roc_auc_score: 0.485, pr_auc_score: 0.713
Validation ptbdb | Epoch: 28, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.501, pr_auc_score: 0.721
Train ptbdb | Epoch: 29, cross_entropy_loss: 0.693, unbalanced_acc_score: 0.723, balanced_acc_score: 0.502, roc_auc_score: 0.492, pr_auc_score: 0.717
Validation ptbdb | Epoch: 29, cross_entropy_loss: 0.694, unbalanced_acc_score: 0.72, balanced_acc_score: 0.5, roc_auc_score: 0.502, pr_auc_score: 0.721
Total number of trainable parameters in vanilla_rnn model: 16897
Test ptbdb | cross_entropy_loss: 0.693, unbalanced_acc_score: 0.278, balanced_acc_score: 0.5, roc_auc_score: 0.503, pr_auc_score: 0.724
